Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2566.36,19.5598,18.3228,121.016,2308.87,22.3822,459.005,21.6443,
2409.63,5.8309,4.04332,1658.06,42.5026,19.0421,430.972,296.55,
2116.95,20.0921,18.6265,87.0246,943.712,23.591,378.624,15.5647,
2596.89,18.6295,18.3049,-26.5503,7397.5,-10.6,464.465,-0,
2509.72,20.1654,18.4375,83.8502,17022.6,29.5428,448.873,14.997,
2399.15,22.121,18.8688,120.239,4847.71,22.073,429.099,21.5052,
2439.46,21.3429,18.0859,103.124,6636.09,21.338,436.308,18.4441,
2567.37,19.2899,18.0899,112.64,1780.18,21.6458,459.185,20.1461,
2496.67,20.2816,18.1174,91.3883,1147.01,21.4261,446.54,16.3452,
2471.52,21.2525,18.5236,102.951,4482.76,23.4727,442.042,18.4131,
2478.5,20.663,18.7289,115.23,10340.4,21.3258,443.29,20.6094,
2367.93,22.1344,18.4831,192.831,16246.2,6.59364,423.514,34.4887,
800,0,1,400,0,1,143.083,71.5417,
2452.33,20.9097,18.2976,113.049,5133.52,23.2605,438.61,20.2193,
2487.24,20.1869,18.1996,101.263,8097.22,24.3971,444.854,18.1112,
2338.63,5.60974,4.22561,1737.76,42.5077,19.0066,418.274,310.806,
2505.79,20.963,17.8999,158.052,4308.84,9.18776,448.171,28.2683,
2504.88,19.8135,18.3142,111.436,1517.95,23.3517,448.007,19.9307,
2475.96,19.2804,18.6401,106.251,11063.9,25.5497,442.835,19.0034,
1228.09,20.0293,19.6337,115.176,9157.39,15.216,219.649,20.5996,
2492.58,18.9522,18.5786,113.369,11300,22.1789,445.809,20.2766,
2604.92,20.148,17.9728,135.503,1552.82,16.755,465.901,24.2353,
429.914,12.5886,19.8909,49.7047,132.731,4.28082,76.8918,8.8899,
2451.37,20.0463,18.8595,129.966,452.946,6.29914,438.439,23.2449,
2496.82,20.2177,18.4528,99.2692,4798.73,23.2196,446.566,17.7547,
2633.24,17.4265,16.1461,316.445,132.492,13.0003,470.967,56.5976,
1239.73,14.117,17.8583,150.669,117.492,30.6939,221.731,26.9478,
2467.23,20.073,18.8729,103.554,3719.07,25.1223,441.273,18.521,
2480.97,17.6651,20.2736,185.581,253.38,5.95742,443.732,33.192,
2405.14,20.0577,19.1105,93.344,6834.32,26.3849,430.169,16.695,
2487.68,21.371,18.4271,174.473,4133.44,6.62245,444.932,31.2051,
2482.51,20.4091,18.7308,103.633,1269.69,21.2497,444.008,18.5352,
2485.43,22.0378,17.8214,107.07,9852.81,27.6661,444.53,19.15,
2482.3,20.5555,18.5511,107.214,2863.41,22.1464,443.97,19.1757,
2503.7,20.6959,18.0338,99.301,6956.97,22.639,447.797,17.7604,
864.989,18.249,19.0318,72.5254,1958.72,36.3096,154.707,12.9715,
520.293,16.0773,21.0006,107.107,5316.87,19.5072,93.0565,19.1566,
12567.5,-142.216,32.3339,-584.837,137.49,104.981,2247.74,-104.601,
2490.63,18.9992,18.9637,153.548,3830.5,9.12482,445.46,27.4626,
2536.73,19.8032,18.076,84.2548,8545.62,26.0968,453.705,15.0693,
2418.02,21.1536,18.455,115.772,11205.2,24.736,432.472,20.7063,
2455.25,21.8075,17.5181,112.924,4042.46,21.1816,439.131,20.197,
2513.92,20.3841,18.3708,120.705,16980.4,21.4777,449.625,21.5886,
2527.52,18.4287,18.3747,-386.23,112.568,-106.692,452.057,-0,
2445.55,21.6697,18.1795,128.501,4994.94,20.9577,437.397,22.983,
1820.15,20.8659,19.0958,458.648,1409.64,-23.1976,325.542,0,
2263.7,19.3952,18.637,128.273,3173.61,18.936,404.872,22.9422,
2500.14,20.8391,18.4479,167.347,2052,9.64042,447.16,29.9308,
2431.96,21.8319,18.7578,100.321,11392.8,29.8685,434.967,17.9428,
2505.05,20.7461,18.1665,119.643,5689.55,17.3105,448.038,21.3986,
1900.56,17.3361,15.1954,275.903,107.537,17.132,339.923,49.3465,
2502.89,20.262,18.2121,82.1295,2113.28,28.3874,447.652,14.6892,
2474.61,20.8754,18.2059,114.048,4890.54,21.72,442.594,20.398,
2480.6,20.6091,18.2479,91.278,12166.1,24.9052,443.665,16.3255,
2542.24,18.8764,18.4951,178.018,5647.56,7.33099,454.69,31.8392,
2463.51,19.2487,18.7428,167.791,4038.56,9.00871,440.608,30.0101,
2542.65,19.354,18.3354,95.2446,15846,23.877,454.764,17.0349,
2594.99,18.7923,16.5432,375.895,132.602,14.794,464.124,67.2304,
2492.66,18.5008,19.5797,107.301,483.604,8.11112,445.822,19.1912,
2522.22,20.6123,17.9121,115.498,7984.68,22.2668,451.109,20.6573,
2574.13,18.7789,17.7969,150.839,2178.72,8.48958,460.394,26.9782,
2493.49,19.139,18.8158,127.972,2914.22,18.6814,445.972,22.8884,
